客户号,probability,label,decision_zone,gray_score,review_reason,fold_std,model_range,missing_ratio,shap_top3_features,shap_top3_values,cf_feature,cf_delta,cf_type,radar_信息完整度,radar_经营活跃度,radar_银企关系,radar_财务稳健性,radar_资质信用,radar_规模体量
49000,0.91936862,1,自动通过,0.0702,,0.0104,0.0261,0.0909,基础健康分|结算分|存款分,-0.5277|0.2105|-0.1942,基础健康分,0.0355,策略调整,82.0,76.3,50.0,94.7,59.3,80.2
49001,0.56670651,0,自动拒绝,0.2706,,0.0512,0.0576,0.3636,missing_pattern_freq|存款我行占比|结算分,-0.3914|-0.3564|0.2627,基础健康分,0.0853,策略调整,24.4,31.7,50.0,16.9,42.2,55.5
49002,0.78447494,1,人工复核,0.4682,概率不确定|资料不足,0.03,0.0617,0.7045,结算分|小类_te|近12个月代发金额值,-0.4668|-0.3178|-0.2003,存款我行占比,-0.1298,策略调整,53.7,53.6,50.0,54.4,53.0,75.8
49003,0.87752332,1,自动通过,0.1716,,0.0232,0.0154,0.1364,存款我行占比|存款分|结算分,-0.2531|-0.2344|-0.2209,近12个月收票金额,-0.0663,核验,53.4,67.9,50.0,100.0,57.7,100.0
49004,0.90752115,1,自动通过,0.1214,,0.0213,0.0302,0.2273,最新一期年报营收增长率|missing_pattern_freq|存款我行占比,-0.4277|-0.4068|0.2543,存款我行占比,-0.0878,策略调整,27.7,82.4,50.0,20.7,66.5,69.8
49005,0.97597654,1,自动通过,0.0156,,0.0031,0.0043,0.0227,基础健康分|结算分|标签_近12个月开票金额,0.6167|0.3548|-0.0999,基础健康分,-0.0086,策略调整,88.4,53.5,50.0,100.0,54.3,76.4
49006,0.39655293,0,自动拒绝,0.23,,0.0284,0.0965,0.6591,结算分|存款我行占比|基础健康分,-0.7559|-0.3968|-0.3436,,0.0,,53.4,43.2,50.0,55.4,25.9,57.2
49007,0.93798133,1,自动通过,0.0814,,0.0114,0.0315,0.0455,基础健康分|存款我行占比|结算分,-0.4102|0.2475|0.2393,基础健康分,0.0324,策略调整,78.5,81.4,50.0,56.4,53.2,71.1
49008,0.3214292,0,自动拒绝,0.1934,,0.0241,0.0808,0.4773,结算分|存款我行占比|收款对手客户数,-1.0023|-0.4279|-0.4263,,0.0,,69.7,8.0,50.0,53.1,35.2,45.5
49009,0.92408452,1,自动通过,0.0572,,0.0128,0.0126,0.1364,存款分|结算分|基础健康分,-0.3219|0.2903|0.2468,存款我行占比,0.033,策略调整,75.7,70.4,50.0,80.7,90.4,46.2
49010,0.69373115,0,人工复核,0.464,概率不确定|资料不足,0.0203,0.0601,0.5455,结算分|基础健康分|存款分,-0.8006|-0.2422|-0.2019,结算分,0.1888,策略调整,70.7,57.8,50.0,49.2,58.5,54.8
49011,0.42647993,0,自动拒绝,0.1526,,0.0355,0.0307,0.5,结算分|存款我行占比|存款分,-0.9906|-0.3696|-0.3524,,0.0,,72.3,63.8,50.0,50.0,61.2,44.4
49012,0.77569995,1,风险提示,0.3946,高风险抽检,0.021,0.0176,0.5227,结算分|存款我行占比|基础健康分,-0.717|0.3067|-0.2753,结算分,0.1197,策略调整,75.4,54.1,50.0,51.1,58.0,38.9
